 format: day,hour,forecast,value  location:53_124 Start : 20260706 
 6,1100,+51,4.000000 
 6,1100,+52,4.000000 
 6,1100,+53,4.000000 
 6,1100,+54,4.000000 
 6,1100,+55,4.000000 
 6,1100,+56,4.000000 
 6,1100,+57,4.000000 
 6,1100,+58,4.000000 
 6,1100,+59,4.000000 
 6,1100,+60,4.000000 
 6,1100,+61,4.000000 
 6,1100,+62,4.000000 
 6,1100,+63,4.000000 
 6,1100,+64,4.000000 
 6,1100,+65,4.000000 
 6,1100,+66,4.000000 
 6,1100,+67,4.000000 
 6,1100,+68,4.000000 
 6,1100,+69,4.000000 
 6,1100,+70,4.000000 
 6,1100,+71,4.000000 
 6,1100,+72,4.000000 
 6,1100,+73,4.000000 
 6,1100,+74,4.000000 
 6,1100,+75,4.000000 
 6,1100,+76,4.000000 
 6,1100,+79,4.000000 
 6,1100,+82,4.000000 
 6,1100,+85,4.000000 
 6,1100,+88,4.000000 
 6,1100,+91,3.000000 
 6,1100,+94,1.000000 
 6,1100,+97,3.000000 
 6,1100,+100,3.000000 
 6,1400,+6,4.000000 
 6,1400,+7,4.000000 
 6,1400,+8,4.000000 
 6,1400,+9,4.000000 
 6,1400,+10,4.000000 
 6,1400,+11,4.000000 
 6,1400,+12,4.000000 
 6,1400,+13,4.000000 
 6,1400,+14,4.000000 
 6,1400,+15,4.000000 
 6,1400,+16,4.000000 
 6,1400,+17,4.000000 
 6,1400,+18,4.000000 
 6,1400,+19,4.000000 
 6,1400,+20,4.000000 
 6,1400,+21,4.000000 
 6,1400,+22,4.000000 
 6,1400,+23,4.000000 
 6,1400,+24,4.000000 
 6,1400,+25,4.000000 
 6,1400,+26,4.000000 
 6,1400,+27,4.000000 
 6,1400,+28,4.000000 
 6,1400,+29,4.000000 
 6,1400,+30,4.000000 
 6,1400,+31,4.000000 
 6,1400,+32,4.000000 
 6,1400,+33,4.000000 
 6,1400,+34,4.000000 
 6,1400,+35,4.000000 
 6,1400,+36,4.000000 
 6,1400,+37,4.000000 
 6,1400,+38,4.000000 
 6,1400,+39,4.000000 
 6,1400,+40,4.000000 
 6,1400,+41,4.000000 
 6,1400,+42,4.000000 
 6,1400,+43,4.000000 
 6,1400,+44,4.000000 
 6,1400,+45,4.000000 
 6,1400,+46,4.000000 
 6,1400,+47,4.000000 
 6,1400,+48,4.000000 
 6,1400,+49,4.000000 
 6,1400,+50,4.000000 
 6,1400,+51,4.000000 
 6,1400,+52,4.000000 
 6,1400,+53,4.000000 
 6,1400,+54,4.000000 
 6,1400,+55,4.000000 
 6,1400,+56,4.000000 
 6,1400,+57,4.000000 
 6,1400,+58,4.000000 
 6,1400,+59,4.000000 
 6,1400,+60,4.000000 
 6,1400,+61,4.000000 
 6,1400,+62,4.000000 
 6,1400,+63,4.000000 
 6,1400,+64,4.000000 
 6,1400,+65,4.000000 
 6,1400,+66,4.000000 
 6,1400,+67,4.000000 
 6,1400,+68,4.000000 
 6,1400,+69,4.000000 
 6,1400,+70,4.000000 
 6,1400,+71,4.000000 
 6,1400,+72,4.000000 
 6,1400,+73,4.000000 
 6,1400,+76,4.000000 
 6,1400,+79,4.000000 
 6,1400,+82,4.000000 
 6,1400,+85,4.000000 
 6,1400,+88,3.000000 
 6,1400,+91,1.000000 
 6,1400,+94,3.000000 
 6,1400,+97,3.000000 
 6,1700,+6,4.000000 
 6,1700,+7,4.000000 
 6,1700,+8,4.000000 
 6,1700,+9,4.000000 
 6,1700,+10,4.000000 
 6,1700,+11,4.000000 
 6,1700,+12,4.000000 
 6,1700,+13,4.000000 
 6,1700,+14,4.000000 
 6,1700,+15,4.000000 
 6,1700,+16,4.000000 
 6,1700,+17,4.000000 
 6,1700,+18,4.000000 
 6,1700,+19,4.000000 
 6,1700,+20,4.000000 
 6,1700,+21,4.000000 
 6,1700,+22,4.000000 
 6,1700,+23,4.000000 
 6,1700,+24,4.000000 
 6,1700,+25,4.000000 
 6,1700,+26,4.000000 
 6,1700,+27,4.000000 
 6,1700,+28,4.000000 
 6,1700,+29,4.000000 
 6,1700,+30,4.000000 
 6,1700,+31,4.000000 
 6,1700,+32,4.000000 
 6,1700,+33,4.000000 
 6,1700,+34,4.000000 
 6,1700,+35,4.000000 
 6,1700,+36,4.000000 
 6,1700,+37,4.000000 
 6,1700,+38,4.000000 
 6,1700,+39,4.000000 
 6,1700,+40,4.000000 
 6,1700,+41,4.000000 
 6,1700,+42,4.000000 
 6,1700,+43,4.000000 
 6,1700,+44,4.000000 
 6,1700,+45,4.000000 
 6,1700,+46,4.000000 
 6,1700,+47,4.000000 
 6,1700,+48,4.000000 
 6,1700,+49,4.000000 
 6,1700,+50,4.000000 
 6,1700,+51,4.000000 
 6,1700,+52,4.000000 
 6,1700,+53,4.000000 
 6,1700,+54,4.000000 
 6,1700,+55,4.000000 
 6,1700,+56,4.000000 
 6,1700,+57,4.000000 
 6,1700,+58,4.000000 
 6,1700,+59,4.000000 
 6,1700,+60,4.000000 
 6,1700,+61,4.000000 
 6,1700,+62,4.000000 
 6,1700,+63,4.000000 
 6,1700,+64,4.000000 
 6,1700,+65,4.000000 
 6,1700,+66,4.000000 
 6,1700,+67,4.000000 
 6,1700,+68,4.000000 
 6,1700,+69,4.000000 
 6,1700,+70,4.000000 
 6,1700,+73,4.000000 
 6,1700,+76,4.000000 
 6,1700,+79,4.000000 
 6,1700,+82,4.000000 
 6,1700,+85,3.000000 
 6,1700,+88,1.000000 
 6,1700,+91,3.000000 
 6,1700,+94,3.000000 
 6,2000,+6,4.000000 
 6,2000,+7,4.000000 
 6,2000,+8,4.000000 
 6,2000,+9,4.000000 
 6,2000,+10,4.000000 
 6,2000,+11,4.000000 
 6,2000,+12,4.000000 
 6,2000,+13,4.000000 
 6,2000,+14,4.000000 
 6,2000,+15,4.000000 
 6,2000,+16,4.000000 
 6,2000,+17,4.000000 
 6,2000,+18,4.000000 
 6,2000,+19,4.000000 
 6,2000,+20,4.000000 
 6,2000,+21,4.000000 
 6,2000,+22,4.000000 
 6,2000,+23,4.000000 
 6,2000,+24,4.000000 
 6,2000,+25,4.000000 
 6,2000,+26,4.000000 
 6,2000,+27,4.000000 
 6,2000,+28,4.000000 
 6,2000,+29,4.000000 
 6,2000,+30,4.000000 
 6,2000,+31,4.000000 
 6,2000,+32,4.000000 
 6,2000,+33,4.000000 
 6,2000,+34,4.000000 
 6,2000,+35,4.000000 
 6,2000,+36,4.000000 
 6,2000,+37,4.000000 
 6,2000,+38,4.000000 
 6,2000,+39,4.000000 
 6,2000,+40,4.000000 
 6,2000,+41,4.000000 
 6,2000,+42,4.000000 
 6,2000,+43,4.000000 
 6,2000,+44,4.000000 
 6,2000,+45,4.000000 
 6,2000,+46,4.000000 
 6,2000,+47,4.000000 
 6,2000,+48,4.000000 
 6,2000,+49,4.000000 
 6,2000,+50,4.000000 
 6,2000,+51,4.000000 
 6,2000,+52,4.000000 
 6,2000,+53,4.000000 
 6,2000,+54,4.000000 
 6,2000,+55,4.000000 
 6,2000,+56,4.000000 
 6,2000,+57,4.000000 
 6,2000,+58,4.000000 
 6,2000,+59,4.000000 
 6,2000,+60,4.000000 
 6,2000,+61,4.000000 
 6,2000,+62,4.000000 
 6,2000,+63,4.000000 
 6,2000,+64,4.000000 
 6,2000,+65,4.000000 
 6,2000,+66,4.000000 
 6,2000,+67,4.000000 
 6,2000,+70,4.000000 
 6,2000,+73,4.000000 
 6,2000,+76,4.000000 
 6,2000,+79,4.000000 
 6,2000,+82,3.000000 
 6,2000,+85,1.000000 
 6,2000,+88,3.000000 
 6,2000,+91,3.000000 
 6,2300,+6,4.000000 
 6,2300,+7,4.000000 
 6,2300,+8,4.000000 
 6,2300,+9,4.000000 
 6,2300,+10,4.000000 
 6,2300,+11,4.000000 
 6,2300,+12,4.000000 
 6,2300,+13,4.000000 
 6,2300,+14,4.000000 
 6,2300,+15,4.000000 
 6,2300,+16,4.000000 
 6,2300,+17,4.000000 
 6,2300,+18,4.000000 
 6,2300,+19,4.000000 
 6,2300,+20,4.000000 
 6,2300,+21,4.000000 
 6,2300,+22,4.000000 
 6,2300,+23,4.000000 
 6,2300,+24,4.000000 
 6,2300,+25,4.000000 
 6,2300,+26,4.000000 
 6,2300,+27,4.000000 
 6,2300,+28,4.000000 
 6,2300,+29,4.000000 
 6,2300,+30,4.000000 
 6,2300,+31,4.000000 
 6,2300,+32,4.000000 
 6,2300,+33,4.000000 
 6,2300,+34,4.000000 
 6,2300,+35,4.000000 
 6,2300,+36,4.000000 
 6,2300,+37,4.000000 
 6,2300,+38,4.000000 
 6,2300,+39,4.000000 
 6,2300,+40,4.000000 
 6,2300,+41,4.000000 
 6,2300,+42,4.000000 
 6,2300,+43,4.000000 
 6,2300,+44,4.000000 
 6,2300,+45,4.000000 
 6,2300,+46,4.000000 
 6,2300,+47,4.000000 
 6,2300,+48,4.000000 
 6,2300,+49,4.000000 
 6,2300,+50,4.000000 
 6,2300,+51,4.000000 
 6,2300,+52,4.000000 
 6,2300,+53,4.000000 
 6,2300,+54,4.000000 
