 format: day,hour,forecast,value  location:53_124 Start : 20260706 
 6,1400,+51,24.000000 
 6,1400,+52,24.000000 
 6,1400,+53,24.000000 
 6,1400,+54,24.000000 
 6,1400,+55,24.000000 
 6,1400,+56,24.000000 
 6,1400,+57,24.000000 
 6,1400,+58,25.000000 
 6,1400,+59,25.000000 
 6,1400,+60,25.000000 
 6,1400,+61,26.000000 
 6,1400,+62,26.000000 
 6,1400,+63,26.000000 
 6,1400,+64,27.000000 
 6,1400,+65,27.000000 
 6,1400,+66,26.000000 
 6,1400,+67,26.000000 
 6,1400,+68,25.000000 
 6,1400,+69,25.000000 
 6,1400,+70,25.000000 
 6,1400,+71,24.000000 
 6,1400,+72,24.000000 
 6,1400,+73,24.000000 
 6,1400,+76,24.000000 
 6,1400,+79,24.000000 
 6,1400,+82,26.000000 
 6,1400,+85,27.000000 
 6,1400,+88,28.000000 
 6,1400,+91,27.000000 
 6,1400,+94,25.000000 
 6,1400,+97,24.000000 
 6,1700,+6,25.000000 
 6,1700,+7,26.000000 
 6,1700,+8,26.000000 
 6,1700,+9,27.000000 
 6,1700,+10,27.000000 
 6,1700,+11,28.000000 
 6,1700,+12,29.000000 
 6,1700,+13,29.000000 
 6,1700,+14,29.000000 
 6,1700,+15,28.000000 
 6,1700,+16,28.000000 
 6,1700,+17,27.000000 
 6,1700,+18,26.000000 
 6,1700,+19,26.000000 
 6,1700,+20,26.000000 
 6,1700,+21,26.000000 
 6,1700,+22,26.000000 
 6,1700,+23,26.000000 
 6,1700,+24,26.000000 
 6,1700,+25,26.000000 
 6,1700,+26,25.000000 
 6,1700,+27,24.000000 
 6,1700,+28,24.000000 
 6,1700,+29,25.000000 
 6,1700,+30,25.000000 
 6,1700,+31,26.000000 
 6,1700,+32,26.000000 
 6,1700,+33,27.000000 
 6,1700,+34,27.000000 
 6,1700,+35,26.000000 
 6,1700,+36,26.000000 
 6,1700,+37,26.000000 
 6,1700,+38,26.000000 
 6,1700,+39,26.000000 
 6,1700,+40,25.000000 
 6,1700,+41,25.000000 
 6,1700,+42,25.000000 
 6,1700,+43,24.000000 
 6,1700,+44,24.000000 
 6,1700,+45,24.000000 
 6,1700,+46,24.000000 
 6,1700,+47,24.000000 
 6,1700,+48,24.000000 
 6,1700,+49,24.000000 
 6,1700,+50,24.000000 
 6,1700,+51,24.000000 
 6,1700,+52,24.000000 
 6,1700,+53,24.000000 
 6,1700,+54,24.000000 
 6,1700,+55,25.000000 
 6,1700,+56,25.000000 
 6,1700,+57,25.000000 
 6,1700,+58,26.000000 
 6,1700,+59,26.000000 
 6,1700,+60,26.000000 
 6,1700,+61,27.000000 
 6,1700,+62,27.000000 
 6,1700,+63,26.000000 
 6,1700,+64,26.000000 
 6,1700,+65,25.000000 
 6,1700,+66,25.000000 
 6,1700,+67,25.000000 
 6,1700,+68,24.000000 
 6,1700,+69,24.000000 
 6,1700,+70,24.000000 
 6,1700,+73,24.000000 
 6,1700,+76,24.000000 
 6,1700,+79,26.000000 
 6,1700,+82,27.000000 
 6,1700,+85,28.000000 
 6,1700,+88,27.000000 
 6,1700,+91,25.000000 
 6,1700,+94,24.000000 
 6,2000,+6,27.000000 
 6,2000,+7,27.000000 
 6,2000,+8,28.000000 
 6,2000,+9,29.000000 
 6,2000,+10,29.000000 
 6,2000,+11,29.000000 
 6,2000,+12,28.000000 
 6,2000,+13,28.000000 
 6,2000,+14,28.000000 
 6,2000,+15,27.000000 
 6,2000,+16,27.000000 
 6,2000,+17,26.000000 
 6,2000,+18,26.000000 
 6,2000,+19,26.000000 
 6,2000,+20,26.000000 
 6,2000,+21,26.000000 
 6,2000,+22,26.000000 
 6,2000,+23,26.000000 
 6,2000,+24,25.000000 
 6,2000,+25,25.000000 
 6,2000,+26,25.000000 
 6,2000,+27,25.000000 
 6,2000,+28,25.000000 
 6,2000,+29,25.000000 
 6,2000,+30,25.000000 
 6,2000,+31,25.000000 
 6,2000,+32,25.000000 
 6,2000,+33,26.000000 
 6,2000,+34,26.000000 
 6,2000,+35,26.000000 
 6,2000,+36,26.000000 
 6,2000,+37,25.000000 
 6,2000,+38,25.000000 
 6,2000,+39,25.000000 
 6,2000,+40,25.000000 
 6,2000,+41,25.000000 
 6,2000,+42,25.000000 
 6,2000,+43,25.000000 
 6,2000,+44,24.000000 
 6,2000,+45,24.000000 
 6,2000,+46,24.000000 
 6,2000,+47,24.000000 
 6,2000,+48,24.000000 
 6,2000,+49,24.000000 
 6,2000,+50,24.000000 
 6,2000,+51,24.000000 
 6,2000,+52,25.000000 
 6,2000,+53,25.000000 
 6,2000,+54,25.000000 
 6,2000,+55,25.000000 
 6,2000,+56,26.000000 
 6,2000,+57,26.000000 
 6,2000,+58,26.000000 
 6,2000,+59,26.000000 
 6,2000,+60,26.000000 
 6,2000,+61,26.000000 
 6,2000,+62,25.000000 
 6,2000,+63,25.000000 
 6,2000,+64,24.000000 
 6,2000,+65,24.000000 
 6,2000,+66,24.000000 
 6,2000,+67,24.000000 
 6,2000,+70,24.000000 
 6,2000,+73,24.000000 
 6,2000,+76,25.000000 
 6,2000,+79,27.000000 
 6,2000,+82,29.000000 
 6,2000,+85,27.000000 
 6,2000,+88,25.000000 
 6,2000,+91,25.000000 
 6,2300,+6,29.000000 
 6,2300,+7,29.000000 
 6,2300,+8,29.000000 
 6,2300,+9,28.000000 
 6,2300,+10,28.000000 
 6,2300,+11,28.000000 
 6,2300,+12,27.000000 
 6,2300,+13,27.000000 
 6,2300,+14,26.000000 
 6,2300,+15,26.000000 
 6,2300,+16,26.000000 
 6,2300,+17,26.000000 
 6,2300,+18,26.000000 
 6,2300,+19,26.000000 
 6,2300,+20,26.000000 
 6,2300,+21,25.000000 
 6,2300,+22,25.000000 
 6,2300,+23,25.000000 
 6,2300,+24,25.000000 
 6,2300,+25,25.000000 
 6,2300,+26,25.000000 
 6,2300,+27,25.000000 
 6,2300,+28,25.000000 
 6,2300,+29,25.000000 
 6,2300,+30,26.000000 
 6,2300,+31,26.000000 
 6,2300,+32,26.000000 
 6,2300,+33,26.000000 
 6,2300,+34,25.000000 
 6,2300,+35,25.000000 
 6,2300,+36,25.000000 
 6,2300,+37,25.000000 
 6,2300,+38,25.000000 
 6,2300,+39,25.000000 
 6,2300,+40,25.000000 
 6,2300,+41,24.000000 
 6,2300,+42,24.000000 
 6,2300,+43,24.000000 
 6,2300,+44,24.000000 
 6,2300,+45,24.000000 
 6,2300,+46,24.000000 
 6,2300,+47,24.000000 
 6,2300,+48,24.000000 
 6,2300,+49,25.000000 
 6,2300,+50,25.000000 
 6,2300,+51,25.000000 
 6,2300,+52,25.000000 
 6,2300,+53,26.000000 
 6,2300,+54,26.000000 
 6,2300,+55,26.000000 
 6,2300,+56,26.000000 
 6,2300,+57,26.000000 
 6,2300,+58,26.000000 
 6,2300,+59,25.000000 
 6,2300,+60,25.000000 
 6,2300,+61,24.000000 
 6,2300,+62,24.000000 
 6,2300,+63,24.000000 
 6,2300,+64,24.000000 
 6,2300,+67,24.000000 
 6,2300,+70,24.000000 
 6,2300,+73,25.000000 
 6,2300,+76,27.000000 
 6,2300,+79,29.000000 
 6,2300,+82,27.000000 
 6,2300,+85,25.000000 
 6,2300,+88,25.000000 
 Start : 20260707 
 7,0200,+6,28.000000 
 7,0200,+7,28.000000 
 7,0200,+8,28.000000 
 7,0200,+9,27.000000 
 7,0200,+10,27.000000 
 7,0200,+11,26.000000 
 7,0200,+12,26.000000 
 7,0200,+13,26.000000 
 7,0200,+14,26.000000 
 7,0200,+15,26.000000 
 7,0200,+16,26.000000 
 7,0200,+17,26.000000 
 7,0200,+18,25.000000 
 7,0200,+19,25.000000 
 7,0200,+20,25.000000 
 7,0200,+21,25.000000 
 7,0200,+22,25.000000 
 7,0200,+23,25.000000 
 7,0200,+24,25.000000 
 7,0200,+25,25.000000 
 7,0200,+26,25.000000 
 7,0200,+27,26.000000 
 7,0200,+28,26.000000 
 7,0200,+29,26.000000 
 7,0200,+30,26.000000 
 7,0200,+31,25.000000 
 7,0200,+32,25.000000 
 7,0200,+33,25.000000 
 7,0200,+34,25.000000 
 7,0200,+35,25.000000 
 7,0200,+36,25.000000 
 7,0200,+37,25.000000 
 7,0200,+38,24.000000 
 7,0200,+39,24.000000 
 7,0200,+40,24.000000 
 7,0200,+41,24.000000 
